Gen,aveSeqRuleSize,aveRouRuleSize,avePairSize
0,17,22,19
1,19,23,21
2,22,24,23
3,21,27,24
4,24,26,25
5,26,26,26
6,27,26,26
7,26,26,26
8,25,27,26
9,22,26,24
10,24,25,24
11,24,25,24
12,25,25,25
13,25,23,24
14,25,23,24
15,28,24,26
16,26,22,24
17,25,23,24
18,24,24,24
19,22,23,22
20,20,23,21
21,20,23,21
22,21,22,21
23,22,19,20
24,23,18,20
25,19,18,18
26,18,20,19
27,19,19,19
28,17,17,17
29,18,16,17
30,17,16,16
31,17,15,16
32,18,17,17
33,17,16,16
34,17,18,17
35,17,18,17
36,15,17,16
37,16,19,17
38,17,19,18
39,15,17,16
40,15,17,16
41,16,16,16
42,17,16,16
43,18,14,16
44,19,14,16
45,18,13,15
46,19,12,15
47,20,12,16
48,18,13,15
49,17,11,14
50,21,11,16
